id,EUCI
SRR9952628,Yes
SRR9952629,Yes
SRR9952630,Yes
SRR9952631,Yes
SRR9952632,Yes
SRR9952633,Yes
SRR9952634,Yes
SRR9952635,Yes
SRR7962754,No
SRR7962855,No
SRR7962856,No
SRR7962857,No
SRR7962859,No
SRR7962860,No
SRR7962864,No
SRR7962866,No
SRR5468104,No
SRR5468105,No
SRR5468106,No
SRR5468107,No
SRR5468108,No
SRR5468109,No
SRR5468110,No
SRR5468111,No
SRR5468112,No
SRR5468517,No
ERR476713,No
ERR476714,No
ERR505054,No
ERR505055,No
SRR7091382,No
SRR7091384,No
SRR8857719,No
SRR8857720,No
SRR6231309,No
SRR6231310,No
SRR6231311,No
SRR6231312,No
SRR6231313,No
SRR6231314,No
SRR6231315,No
SRR6231316,No
SRR9661626,No
SRR9661762,No
SRR9661777,No
SRR9661787,No
SRR9661788,No
SRR9661821,No
SRR9661844,No
SRR10955010,No
SRR11635883,No
SRR11637895,No
SRR11637950,No
SRR11637896,No
SRR7616076,No
SRR7617220,No
SRR7617225,No
SRR7617317,No
SRR7052951,No
SRR8536342,No
SRR8441375,No
SRR8441478,No
SRR8441487,No
SRR8441833,No
SRR8441839,No
SRR8441843,No
SRR10241522,No
SRR10241524,No
SRR10241527,No
SRR7985596,No
SRR11049291,No
SRR11050167,No
SRR11050168,No
SRR11050254,No
SRR11050433,No
SRR10241523,No
SRR10241528,No
SRR10241529,No
SRR7990334,No
SRR7990527,No
SRR7990546,No
SRR7990717,No
SRR7691718,No
SRR7691719,No
SRR7691720,No
SRR11582139,No
SRR11582142,No
SRR11582143,No
SRR11582145,No
SRR11582147,No
SRR11582149,No
SRR11582151,No
SRR11582153,No
SRR11582155,No
SRR11582157,No
SRR11582164,No
SRR11582170,No
SRR11582173,No
SRR5468149,Yes
SRR5468150,Yes
SRR5468151,Yes
SRR5468152,Yes
SRR5468153,Yes
SRR5468154,Yes
SRR5468155,Yes
SRR5275897,Yes
SRR5275898,Yes
SRR5275899,Yes
SRR5275900,Yes
SRR5275901,Yes
SRR5275902,Yes
SRR5275903,Yes
SRR5275904,Yes
SRR5275905,Yes
SRR5275906,Yes
SRR5275907,Yes
SRR5275908,Yes
SRR5275909,Yes
SRR5275910,Yes
SRR5275918,Yes
SRR5275919,Yes
SRR5275925,Yes
SRR5275926,Yes
SRR5275927,Yes
SRR5891570,Yes
SRR5891571,Yes
SRR5891572,Yes
SRR5891573,Yes
SRR5891574,Yes
SRR5891575,Yes
SRR8842248,Yes
SRR8842249,Yes
SRR7343998,Yes
SRR7343999,Yes
SRR7344000,Yes
SRR7344001,Yes
SRR7344002,Yes
SRR10873328,Yes
SRR11601791,Yes
SRR11601839,Yes
SRR11601852,Yes
SRR11601853,Yes
SRR11601863,Yes
SRR11601881,Yes
SRR11602038,Yes
SRR11602041,Yes
SRR11602043,Yes
SRR11601551,Yes
SRR11601607,Yes
SRR11601608,Yes
SRR11601609,Yes
SRR7004197,No
SRR7003761,No
SRR7003762,No
SRR7003763,No
SRR7003764,No
SRR6475351,No
SRR6475352,No
SRR6475353,No
SRR6475354,No
SRR6475355,No
SRR6263202,No
SRR6263206,No
SRR6263248,No
SRR6263258,No
SRR6263259,No
SRR6263322,No
SRR6263654,No
SRR6263655,No
SRR6266334,No
SRR6266338,No
SRR3100146,No
SRR3100147,No
SRR3100148,No
SRR3100149,No
SRR3100150,No
SRR3100151,No
SRR3100152,No
SRR3100153,No
SRR5857943,No
SRR5857944,No
SRR5857945,No
SRR5857946,No
SRR6220932,No
SRR6221002,No
SRR5498691,No
SRR5498692,No
SRR5498693,No
SRR5498694,No
SRR5498695,No
SRR5498961,No
SRR5498962,No
SRR5498963,No
SRR5498964,No
SRR5498965,No
SRR8781996,No
SRR8781997,No
SRR8781998,No
SRR8781999,No
SRR8782000,No
SRR10947776,No
SRR10948644,No
SRR10948645,No
SRR10948652,No
SRR10948660,No
SRR10857620,No
SRR10857621,No
SRR10857623,No
ERR558441,No
ERR559527,No
ERR559528,No
ERR559529,No
ERR1800786,No
ERR1801630,No
ERR1801631,No
ERR1801633,No
ERR1801634,No
ERR1801671,No
SRR7058413,No
SRR7058416,No
SRR7058420,No
SRR7058422,No
ERR3130419,No
SRR8581483,No
SRR8581484,No
ERR1726537,No
ERR1726546,No
ERR1726550,No
ERR1726751,No
ERR1726755,No
ERR1726789,No
ERR1726800,No
ERR1726802,No
ERR1726807,No
ERR1726808,No
